candidate_id,scene,frame_start,frame_end,crop_xyxy,score,score_mean,score_peak,dynamic_motion_mean,static_delta_motion_mean,motion_mask_mean,mask_boundary_mean,flicker_motion_mean
flame_steak_nonoracle_05_168_183_240_240_400_400,flame_steak,168,183,"[240, 240, 400, 400]",0.049174917105119675,0.0456186804221943,0.05747280269861221,0.026494808087591082,0.01784434146247804,0.1047888514585793,0.05389525950886309,0.005953495186986402
flame_steak_nonoracle_06_176_191_240_320_400_480,flame_steak,176,191,"[240, 320, 400, 480]",0.04762279712595045,0.04603516450151801,0.05132727324962616,0.029947903705760837,0.021381738130003214,0.09994166484102607,0.04958735476247966,0.005276254960335791
flame_steak_nonoracle_07_156_171_320_320_480_480,flame_steak,156,171,"[320, 320, 480, 480]",0.04469762496883049,0.035762598155997694,0.06554602086544037,0.02219952968880534,0.01741834610584192,0.08065591147169471,0.03257957973983139,0.004324780835304409
flame_steak_nonoracle_08_172_187_320_320_480_480,flame_steak,172,187,"[320, 320, 480, 480]",0.04429568956838921,0.03587692778091878,0.06393946707248688,0.02202040795236826,0.015670291264541447,0.08024739613756537,0.039325443329289556,0.005156387662282214
flame_steak_nonoracle_09_172_187_320_240_480_400,flame_steak,172,187,"[320, 240, 480, 400]",0.04356593652628362,0.04309686133638024,0.04466044530272484,0.02414552227128297,0.015055261959787458,0.09806755557656288,0.06092838617041707,0.005447719478979707
flame_steak_nonoracle_10_184_199_240_320_400_480,flame_steak,184,199,"[240, 320, 400, 480]",0.04212678293697536,0.03818371566012502,0.05132727324962616,0.025171075540129095,0.019104612176306546,0.08100262400694191,0.04166914738016203,0.0036023175925947726
flame_steak_nonoracle_11_248_263_240_320_400_480,flame_steak,248,263,"[240, 320, 400, 480]",0.041830130759626626,0.03901670780032873,0.048394784331321716,0.029118423466570675,0.024843321414664388,0.07823103084228933,0.0284896707162261,0.004154083180765156
flame_steak_nonoracle_12_256_271_240_320_400_480,flame_steak,256,271,"[240, 320, 400, 480]",0.03990549014415592,0.03626722120679915,0.048394784331321716,0.025753600522875786,0.02148765476886183,0.07574061653576791,0.027473413618281484,0.003981029243732337
flame_steak_nonoracle_13_184_199_240_240_400_400,flame_steak,184,199,"[240, 240, 400, 400]",0.03951118901313748,0.032920524157816544,0.05488940700888634,0.018739039047432016,0.012235710772074526,0.07242588521330617,0.050216710682434496,0.003495790698707424
flame_steak_nonoracle_14_180_195_320_240_480_400,flame_steak,180,195,"[320, 240, 480, 400]",0.038510333909653124,0.035874571884050965,0.04466044530272484,0.02034711858141236,0.011937992443563417,0.080545439501293,0.054211339564062655,0.004221770795993507
flame_steak_nonoracle_15_164_179_320_240_480_400,flame_steak,164,179,"[320, 240, 480, 400]",0.037769537395797664,0.035061979899182916,0.04408717155456543,0.019886743859387934,0.013071316672721878,0.08011036948300898,0.04577082418836653,0.004582299465255346
flame_steak_nonoracle_16_240_255_240_320_400_480,flame_steak,240,255,"[240, 320, 400, 480]",0.03743443812709302,0.03365180571563542,0.04626058042049408,0.026418572990223765,0.023084198590368032,0.06457467679865658,0.023466634505894035,0.0028784546011593193
