area,bbox_xyxy,mean_score,peak_score,component_score,scene,image_name,frame_idx,mask_source,flow_source,local_component_rank,mask_boundary_mean,flow_valid_boundary_mean,flow_mag_boundary_mean,dynamic_boundary_mean,static_delta_boundary_mean,flicker_boundary_mean,component_id
526,"[320, 160, 384, 224]",0.9427757263183594,1.0,0.9542205810546875,flame_steak,cam00_0182,182,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0182.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0182.npz,0,0.06421927362680435,0.04630440101027489,0.4620315730571747,0.5566740036010742,0.6394296288490295,0.04108458012342453,flame_steak_boundary_022_cam00_0182
68,"[96, 320, 160, 384]",0.9426470398902893,1.0,0.9541176319122315,flame_steak,cam00_0085,85,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0085.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0085.npz,2,0.0513024739921093,0.036848034709692,0.5785394906997681,0.5732000470161438,0.6205752491950989,0.0380384661257267,flame_steak_boundary_023_cam00_0085
648,"[320, 160, 384, 224]",0.9422839283943176,1.0,0.9538271427154541,flame_steak,cam00_0187,187,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0187.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0187.npz,1,0.06511793285608292,0.05654563754796982,0.4894086420536041,0.5554981827735901,0.6401765942573547,0.04315325245261192,flame_steak_boundary_024_cam00_0187
626,"[320, 160, 384, 224]",0.9416933059692383,1.0,0.9533546447753907,flame_steak,cam00_0188,188,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0188.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0188.npz,1,0.06462191790342331,0.04425615444779396,0.5477223992347717,0.5562421679496765,0.6401124000549316,0.041612688452005386,flame_steak_boundary_025_cam00_0188
208,"[32, 384, 96, 448]",0.941586434841156,1.0,0.9532691478729249,flame_steak,cam00_0033,33,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0033.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0033.npz,0,0.05381464213132858,0.03746075555682182,0.4696410000324249,0.5764066576957703,0.6055985689163208,0.03504195809364319,flame_steak_boundary_026_cam00_0033
722,"[384, 256, 448, 320]",0.9409972429275513,1.0,0.9527977943420411,flame_steak,cam00_0217,217,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0217.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0217.npz,1,0.05710000917315483,0.03823103755712509,0.35920485854148865,0.5500945448875427,0.649539589881897,0.036007724702358246,flame_steak_boundary_027_cam00_0217
860,"[320, 384, 384, 448]",0.9406394958496094,1.0,0.9525115966796875,flame_steak,cam00_0082,82,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0082.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0082.npz,0,0.04726725071668625,0.030014704912900925,0.5706791281700134,0.5730337500572205,0.6185620427131653,0.03718648850917816,flame_steak_boundary_028_cam00_0082
102,"[96, 352, 160, 416]",0.9401957988739014,1.0,0.9521566390991212,flame_steak,cam00_0086,86,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0086.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0086.npz,0,0.05239370837807655,0.04259888082742691,0.540404736995697,0.5722225904464722,0.6210333704948425,0.037816718220710754,flame_steak_boundary_029_cam00_0086
778,"[320, 384, 384, 448]",0.9397814273834229,1.0,0.9518251419067383,flame_steak,cam00_0216,216,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0216.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0216.npz,0,0.05629179626703262,0.03710479289293289,0.3936457633972168,0.5506460070610046,0.6489852070808411,0.0366000272333622,flame_steak_boundary_030_cam00_0216
529,"[416, 256, 480, 320]",0.9396975636482239,1.0,0.9517580509185792,flame_steak,cam00_0182,182,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0182.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0182.npz,1,0.06421927362680435,0.04630440101027489,0.4620315730571747,0.5566740036010742,0.6394296288490295,0.04108458012342453,flame_steak_boundary_031_cam00_0182
513,"[384, 192, 448, 256]",0.9392787218093872,1.0,0.9514229774475098,flame_steak,cam00_0077,77,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0077.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0077.npz,1,0.04227501526474953,0.03519367799162865,0.19067667424678802,0.5730658173561096,0.6174620389938354,0.03308124095201492,flame_steak_boundary_032_cam00_0077
1180,"[384, 256, 448, 320]",0.9392373561859131,1.0,0.9513898849487306,flame_steak,cam00_0182,182,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0182.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0182.npz,2,0.06421927362680435,0.04630440101027489,0.4620315730571747,0.5566740036010742,0.6394296288490295,0.04108458012342453,flame_steak_boundary_033_cam00_0182
369,"[416, 352, 480, 416]",0.9391599297523499,1.0,0.95132794380188,flame_steak,cam00_0185,185,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0185.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0185.npz,0,0.06488160043954849,0.05346451327204704,0.32949650287628174,0.555944561958313,0.6390153169631958,0.041332587599754333,flame_steak_boundary_034_cam00_0185
729,"[352, 256, 416, 320]",0.939094603061676,1.0,0.9512756824493409,flame_steak,cam00_0182,182,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0182.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0182.npz,3,0.06421927362680435,0.04630440101027489,0.4620315730571747,0.5566740036010742,0.6394296288490295,0.04108458012342453,flame_steak_boundary_035_cam00_0182
